candidate,twitter pro,twitter con,user pro,user con,prediction
Theresa May,0.63,0.62,0.51,0.5675,0.327788367122971
Jeremy Corbyn,0.01,0.53,0.32,0.3,0.173280194073817
Nicola Sturgeon,0.66,0.599,0.05,0.2818,0.162767862300006
Tim Farron,0.14,0.56,0.09,0.194,0.112054525501069
Arlene Foster,0.63,0.79,0,0.284,0.164038583723214
Gerry Adams,0.27,0.22,0,0.098,0.056604863397447
Leanne Wood,0,0,0,0,0
Jonathan Bartley Caroline Lucas,0,0,0.01,0.006,0.00346560388147635
John Bercow,0,0,0,0,0
Sylvia Hermon ,0,0,0,0,0
,,,,,
,,,,,
,,,,1.7313,